Postal Code,Borough
10115,Berlin-Mitte
10117,Berlin-Mitte
10119,Berlin-Mitte
10178,Berlin-Mitte
10179,Berlin-Mitte
10243,Friedrichshain
10245,Friedrichshain
10247,Friedrichshain
10249,Friedrichshain
10318,Lichtenberg
10319,Lichtenberg
10405,Prenzlauer Berg
10407,Prenzlauer Berg
10409,Prenzlauer Berg
10435,Prenzlauer Berg
10437,Prenzlauer Berg
10439,Prenzlauer Berg
10551,Tiergarten
10553,Tiergarten
10555,Tiergarten
10557,Tiergarten
10559,Tiergarten
10585,Charlottenburg
10587,Charlottenburg
10589,Charlottenburg
10623,Charlottenburg
10625,Charlottenburg
10627,Charlottenburg
10629,Charlottenburg
10707,Wilmersdorf
10709,Wilmersdorf
10711,Wilmersdorf
10713,Wilmersdorf
10715,Wilmersdorf
10719,Wilmersdorf
10777,Tempelhof
10779,Tempelhof
10781,Tempelhof
10783,Tempelhof
10789,Tempelhof
10823,Schöneberg
10825,Schöneberg
10827,Schöneberg
10829,Schöneberg
10961,Kreuzberg
10963,Kreuzberg
10965,Kreuzberg
10967,Kreuzberg
10969,Kreuzberg
10997,Kreuzberg
10999,Kreuzberg
12043,Neukölln
12045,Neukölln
12047,Neukölln
12049,Neukölln
12051,Neukölln
12053,Neukölln
12055,Neukölln
12057,Neukölln
12059,Neukölln
12157,Steglitz
12161,Steglitz
12163,Steglitz
12165,Steglitz
12167,Steglitz
12169,Steglitz
12203,Lichterfelde
12205,Lichterfelde
12207,Lichterfelde
12209,Lichterfelde
12247,Lankwitz
12249,Lankwitz
12277,Marienfelde
12279,Marienfelde
12305,Lichtenrade
12307,Lichtenrade
12309,Lichtenrade
12487,Adlershof
12489,Adlershof
12555,Köpenick
12557,Köpenick
12559,Köpenick
12587,Köpenick
12679,Marzahn 
12681,Marzahn 
12683,Marzahn 
12685,Marzahn 
12687,Marzahn 
12689,Marzahn 
13086,Weißensee
13088,Weißensee
13089,Weißensee
13187,Pankow
13189,Pankow
13347,Wedding
13349,Wedding
13351,Wedding
13353,Wedding
13355,Wedding
13357,Wedding
13359,Wedding
13403,Reinickendorf
13405,Reinickendorf
13407,Reinickendorf
13409,Reinickendorf
13435,Wittenau
13437,Wittenau
13439,Wittenau
14109,Wannsee
14163,Zehlendorf
14165,Zehlendorf
14167,Zehlendorf
14169,Zehlendorf